Cst_Cd,Cstm_Nm,Cstm_Nm_Bk,Audit_Team_Mgr_Cnt,Exp_Auditor_Cnt,Exp_Inspct_Team_Mgr_Cnt,Exp_Inspctor_Cnt,Imp_Auditor_Cnt,Imp_Inspct_Team_Mgr_Cnt,Imp_Inspctor_Cnt
15600,Статистик,Статистик,0,0,0,0,0,0,0
15800,Эрсдэл,Эрсдэл,0,0,0,0,0,0,0
16,Бичигт дэх гаалийн газар,Бичигт дэх гаалийн хороо,0,0,0,0,0,0,0
16100,Захиргааны хэсэг,Захиргааны хэсэг,0,0,0,0,0,0,0
16500,"Санхүү, татварын хэсэг","Санхүү, татварын хэсэг",0,0,0,0,0,0,0
16503,Санхүүгийн хэсэг,Санхүүгийн хэсэг,0,0,0,0,0,0,0
16504,Татвар,Татвар,0,0,0,0,0,0,0
17100,Захиргааны хэсэг,Захиргааны хэсэг,0,0,0,0,0,0,0
17202,Бургастай хилийн боомт,Бургастай хилийн боомт,0,0,0,0,0,0,0
17500,"Санхүү, татварын хэсэг","Санхүү, татварын хэсэг",0,0,0,0,0,0,0
17501,БТКУС-ын хэсэг,БТКУС-ын хэсэг,0,0,0,0,0,0,0
17503,Санхүүгийн хэсэг,Санхүүгийн хэсэг,0,0,0,0,0,0,0
17800,Эрсдлийн алба,Эрсдлийн алба,0,0,0,0,0,0,0
17902,Бургастай,Бургастай ,0,0,0,0,0,0,0
17903,Говь Алтай Бургастай шинэ,Цагаан байшинт,0,0,0,0,0,0,0
18201,Арцсуурь дахь хилийн боомт,Арцсуурь дахь хилийн боомт,0,0,0,0,0,0,0
18500,"Санхүү, татварын хэсэг","Санхүү, татварын хэсэг",0,0,0,0,0,0,0
18501,БТКУС-ын хэсэг,БТКУС-ын хэсэг,0,0,0,0,0,0,0
18504,Татвар,Татвар,0,0,0,0,0,0,0
18505,Хураамж,Хураамж,0,0,0,0,0,0,0
18600,Статистик,Статистик,0,0,0,0,0,0,0
18800,Эрсдэл,Эрсдэл,0,0,0,0,0,0,0
19100,Захиргааны хэсэг,Захиргааны хэсэг,0,0,0,0,0,0,0
19201,Ханх дахь хилийн боомт,Ханх дахь хилийн боомт,0,0,0,0,0,0,0
8904,Байтаг ,Байтаг ,0,0,0,0,0,0,0
9200,"Гаалийн хяналт,  бүрдүүлэлтийн алба","Гаалийн хяналт,  бүрдүүлэлтийн алба",0,0,0,0,0,0,0
9202,Боршоо дахь гаалийн салбар,Боршоо дахь гаалийн салбар,0,0,0,0,0,0,0
9503,Санхүүгийн хэсэг,Санхүүгийн хэсэг,0,0,0,0,0,0,0
9800,Эрсдэл,Эрсдэл,0,0,0,0,0,0,0
9901,Увс дахь гүний гааль ,Увс дахь гүний гааль ,0,0,0,0,0,0,0
10200,"Гаалийн хяналт,  бүрдүүлэлтийн хэлтэс","Гаалийн хяналт,  бүрдүүлэлтийн хэлтэс",0,0,0,0,0,0,0
10202,Бага илэнх дэх хилийн боомт,Бага илэнх дэх хилийн боомт,0,0,0,0,0,0,0
10500,"Санхүү, татварын хэсэг","Санхүү, татварын хэсэг",0,0,0,0,0,0,0
10503,Санхүүгийн хэсэг,Санхүүгийн хэсэг,0,0,0,0,0,0,0
10600,Статистик,Статистик,0,0,0,0,0,0,0
10901,Эрдэнэт өртөө ,Эрдэнэт өртөө ,0,0,0,0,0,0,0
11,Сайншанд дахь  гаалийн газар,Сайншанд дахь  гаалийн газар,0,0,0,0,0,0,0
11200,Гаалийн хяналт бүрдүүлэлтийн алба,"Гаалийн хяналт,  бүрдүүлэлтийн алба",0,0,0,0,0,0,0
11204,Ханги дахь гаалийн салбар,Ханги-мандалын хилийн боомт,0,0,0,0,0,0,0
11206,Сайншанд дахь төмөр замын хяналтын хэсэг,Сайншанд дахь төмөр замын хяналтын хэсэг,0,0,0,0,0,0,0
11300,Гаалийн зөрчлөөс урьдчилан сэргийлэх хэсэг,Гаалийн зөрчлөөс урьдчилан сэргийлэх хэсэг,0,0,0,0,0,0,0
11503,Санхүүгийн хэсэг,Санхүүгийн хэсэг,0,0,0,0,0,0,0
11800,Эрсдэл,Эрсдэл,0,0,0,0,0,0,0
11906,Ханги-Мандал,Ханги-Мандал,0,0,0,0,0,0,0
12502,"Үнэ, үнэлгээний хэсэг","Үнэ, үнэлгээний хэсэг",0,0,0,0,0,0,0
12600,Статистик,Статистик,0,0,0,0,0,0,0
14,Гашуунсухайт дахь гаалийн газар,Гашуунсухайт дахь гаалийн хороо,0,0,0,0,0,0,0
14200,"Гаалийн хяналт,  бүрдүүлэлтийн алба","Гаалийн хяналт,  бүрдүүлэлтийн алба",0,0,0,0,0,0,0
14502,"Үнэ, үнэлгээний хэсэг","Үнэ, үнэлгээний хэсэг",0,0,0,0,0,0,0
14800,Эрсдэл,Эрсдэл,0,0,0,0,0,0,0
14901,Гашуунсухайт,Гашуунсухайт ,0,0,0,0,0,0,0
14902,Ухаа худаг - Энержи,Айвенхоу Майнз Монголия Инк ХХК,0,0,0,0,0,0,0
15,Шивээхүрэн дахь гаалийн газар,Шивээхүрэн дахь гаалийн хороо,0,0,0,0,0,0,0
15200,"Гаалийн хяналт, эрсдлийн удирдлагын алба","Гаалийн хяналт,  бүрдүүлэлтийн алба",0,0,0,0,0,0,0
15503,Санхүүгийн хэсэг,Санхүүгийн хэсэг,0,0,0,0,0,0,0
15901,Шивээхүрэн галерей,Шивээхүрэн ,0,0,0,0,0,0,0
15902,"МАК, ЧИН ХУА МАК бүрдүүлэлтийн хэсэг",Чин Хуа-Мак-Нарийн сухайт ХХК,0,0,0,0,0,0,0
16200,"Гаалийн хяналт,  бүрдүүлэлтийн алба","Гаалийн хяналт,  бүрдүүлэлтийн алба",0,0,0,0,0,0,0
4500,"Санхүү, татварын хэлтэс","Санхүү, татварын хэлтэс",0,0,0,0,0,0,0
4502,"Үнэ, үнэлгээний хэсэг","Үнэ, үнэлгээний хэсэг",0,0,0,0,0,0,0
4600,Статистик,Статистик,0,0,0,0,0,0,0
4901,Сүхбаатар өртөө,Сүхбаатар өртөө ,1,0,0,0,0,0,0
4906,Сэлэнгэ импекс ,Сэлэнгэ импекс ,0,0,0,0,0,0,0
4908,Халиун уул,Халиун уул,0,0,0,0,0,0,0
5,Чингис Хаан Олон Улсын нисэх буудал дахь гаалийн газар,Буянт-Ухаа дахь гаалийн газар,0,0,0,0,0,0,0
5505,Хураамж,Хураамж,0,0,0,0,0,0,0
5800,Эрсдлийн алба,Эрсдлийн алба,0,0,0,0,0,0,0
5902,Олон улсын нисэх буудал,Олон улсын нисэх буудал,0,0,1,1,0,0,0
19500,"Санхүү, татварын хэсэг","Санхүү, татварын хэсэг",0,0,0,0,0,0,0
19501,БТКУС-ын хэсэг,БТКУС-ын хэсэг,0,0,0,0,0,0,0
19503,Санхүүгийн хэсэг,Санхүүгийн хэсэг,0,0,0,0,0,0,0
19504,Татвар,Татвар,0,0,0,0,0,0,0
19600,Статистик,Статистик,0,0,0,0,0,0,0
19902,Ханх ,Ханх ,0,0,0,0,0,0,0
3010,3010 custom name,3010 custom name,0,0,0,0,0,0,0
1110,Хүний нөөцийн хэлтэс,Хүний нөөцийн хэлтэс ,0,0,0,0,0,0,0
3211,Inspection Department in Truck Terminal,,0,0,0,0,0,0,0
16800,Эрсдэл,Эрсдэл,0,0,0,0,0,0,0
