код,Гаалийн газар хорооны код,Гаалийн газар хорооны нэр,Төрөл,Он,Сар,Дүн
197,16,Сүхбаатар аймгийн Бичигт дэх ГХ,Татвар,2024,4,2562.49
198,19,Хөвсгөл аймгийн Ханх дахь ГХ,Татвар,2024,4,10.5
199,18,Завхан аймгийн Арцсуурь дахь ГХ,Татвар,2024,4,0
200,20,Ханги дахь гаалийн газар,Татвар,2024,4,2222.57
201,1,ГЕГазар,Хураамж,2024,4,0.09
202,2,Улаанбаатар хот дахь ГГ,Хураамж,2024,4,170.98
203,3,Замын-Үүд дэх ГГ,Хураамж,2024,4,170.8
204,5,Чингис хаан ОУНБ ГГ,Хураамж,2024,4,11.25
205,4,Сэлэнгэ аймаг дахь ГГ,Хураамж,2024,4,24.93
206,14,Гашуунсухайт дахь ГГ,Хураамж,2024,4,4846.31
207,15,Шивээхүрэн дэх ГГ,Хураамж,2024,4,2568.55
208,11,Сайншанд дахь ГГ,Хураамж,2024,4,587.54
209,8,Ховд аймгийн Булган дахь ГГ,Хураамж,2024,4,550
210,7,Баян-Өлгий аймаг дахь ГГ,Хураамж,2024,4,5.76
211,10,Орхон аймаг дахь ГГ,Хураамж,2024,4,65.64
212,13,Дархан-Уул аймаг дахь ГГ,Хураамж,2024,4,518.69
213,6,Дорнод аймаг дахь ГГ,Хураамж,2024,4,7.12
214,9,Увс аймаг дахь ГГ,Хураамж,2024,4,0.77
215,12,Улс хоорондын шуудан илгээмж дэх ГХ,Хураамж,2024,4,18
216,17,Говь-Алтай аймгийн Бургастай дахь ГХ,Хураамж,2024,4,6.3
217,16,Сүхбаатар аймгийн Бичигт дэх ГХ,Хураамж,2024,4,350.25
218,19,Хөвсгөл аймгийн Ханх дахь ГХ,Хураамж,2024,4,0.03
219,18,Завхан аймгийн Арцсуурь дахь ГХ,Хураамж,2024,4,0
220,20,Ханги дахь гаалийн газар,Хураамж,2024,4,396.99
221,1,ГЕГазар,Өөрийн орлого,2024,4,435.71
222,2,Улаанбаатар хот дахь ГГ,Өөрийн орлого,2024,4,39.09
223,3,Замын-Үүд дэх ГГ,Өөрийн орлого,2024,4,206.57
224,5,Чингис хаан ОУНБ ГГ,Өөрийн орлого,2024,4,89.48
225,4,Сэлэнгэ аймаг дахь ГГ,Өөрийн орлого,2024,4,39.64
226,14,Гашуунсухайт дахь ГГ,Өөрийн орлого,2024,4,121.77
227,15,Шивээхүрэн дэх ГГ,Өөрийн орлого,2024,4,6.52
228,11,Сайншанд дахь ГГ,Өөрийн орлого,2024,4,52.59
229,8,Ховд аймгийн Булган дахь ГГ,Өөрийн орлого,2024,4,15
230,7,Баян-Өлгий аймаг дахь ГГ,Өөрийн орлого,2024,4,39.64
231,10,Орхон аймаг дахь ГГ,Өөрийн орлого,2024,4,5.6
232,13,Дархан-Уул аймаг дахь ГГ,Өөрийн орлого,2024,4,3.48
233,6,Дорнод аймаг дахь ГГ,Өөрийн орлого,2024,4,28
234,9,Увс аймаг дахь ГГ,Өөрийн орлого,2024,4,1.2
235,12,Улс хоорондын шуудан илгээмж дэх ГХ,Өөрийн орлого,2024,4,44
236,17,Говь-Алтай аймгийн Бургастай дахь ГХ,Өөрийн орлого,2024,4,0.2
237,16,Сүхбаатар аймгийн Бичигт дэх ГХ,Өөрийн орлого,2024,4,2
238,19,Хөвсгөл аймгийн Ханх дахь ГХ,Өөрийн орлого,2024,4,1.2
239,18,Завхан аймгийн Арцсуурь дахь ГХ,Өөрийн орлого,2024,4,0
240,20,Ханги дахь гаалийн газар,Өөрийн орлого,2024,4,6.27
241,1,ГЕГазар,Татвар,2024,5,0.89
242,2,Улаанбаатар хот дахь ГГ,Татвар,2024,5,319213.11
243,3,Замын-Үүд дэх ГГ,Татвар,2024,5,141245.82
244,5,Чингис хаан ОУНБ ГГ,Татвар,2024,5,24511.14
245,4,Сэлэнгэ аймаг дахь ГГ,Татвар,2024,5,29547.62
246,14,Гашуунсухайт дахь ГГ,Татвар,2024,5,36909.56
247,15,Шивээхүрэн дэх ГГ,Татвар,2024,5,18550.97
248,11,Сайншанд дахь ГГ,Татвар,2024,5,6895.86
249,8,Ховд аймгийн Булган дахь ГГ,Татвар,2024,5,1671.97
250,7,Баян-Өлгий аймаг дахь ГГ,Татвар,2024,5,6922.24
251,10,Орхон аймаг дахь ГГ,Татвар,2024,5,6291.34
252,13,Дархан-Уул аймаг дахь ГГ,Татвар,2024,5,5113.31
253,6,Дорнод аймаг дахь ГГ,Татвар,2024,5,4788.23
254,9,Увс аймаг дахь ГГ,Татвар,2024,5,1880.96
