Bordr Cstm Yn,Cstm Cd,Cstm Fg Cd,Cstm Nm,Cstm Nm Bk,Group Id,Upper Cstm Cd,Use Dclr,Use Ib,Use Yn,Audit Team Mgr Cnt,Exp Auditor Cnt,Exp Inspct Team Mgr Cnt,Exp Inspctor Cnt,Imp Auditor Cnt,Imp Inspct Team Mgr Cnt,Imp Inspctor Cnt,Impexp Auditor Cnt,Impexp Inspct Team Mgr Cnt,Impexp Inspctor Cnt
N,17500,30,"Санхүү, татварын хэсэг","Санхүү, татварын хэсэг",,17,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,17501,30,БТКУС-ын хэсэг,БТКУС-ын хэсэг,,17,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,17503,30,Санхүүгийн хэсэг,Санхүүгийн хэсэг,,17,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,17800,30,Эрсдлийн алба,Эрсдлийн алба,,17,Y,N,Y,0,0,0,0,0,0,0,0,0,0
Y,17902,30,Бургастай,Бургастай ,,17,Y,N,Y,0,0,0,0,0,0,0,0,0,0
Y,17903,20,Говь Алтай Бургастай шинэ,Цагаан байшинт,,17,Y,N,Y,0,0,0,0,0,0,0,1,1,2
N,18201,30,Арцсуурь дахь хилийн боомт,Арцсуурь дахь хилийн боомт,,18,Y,N,N,0,0,0,0,0,0,0,0,0,0
N,18500,30,"Санхүү, татварын хэсэг","Санхүү, татварын хэсэг",,18,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,18501,30,БТКУС-ын хэсэг,БТКУС-ын хэсэг,,18,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,18504,30,Татвар,Татвар,,18,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,18505,30,Хураамж,Хураамж,,18,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,18600,30,Статистик,Статистик,,18,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,18800,30,Эрсдэл,Эрсдэл,,18,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,19100,30,Захиргааны хэсэг,Захиргааны хэсэг,,19,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,19201,30,Ханх дахь хилийн боомт,Ханх дахь хилийн боомт,,19,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,08904,30,Байтаг ,Байтаг ,,08,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,09200,30,"Гаалийн хяналт,  бүрдүүлэлтийн алба","Гаалийн хяналт,  бүрдүүлэлтийн алба",,09,Y,N,Y,0,0,0,0,0,0,0,0,0,0
Y,09202,30,Боршоо дахь гаалийн салбар,Боршоо дахь гаалийн салбар,,09,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,09503,30,Санхүүгийн хэсэг,Санхүүгийн хэсэг,,09,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,09800,30,Эрсдэл,Эрсдэл,,09,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,09901,30,Увс дахь гүний гааль ,Увс дахь гүний гааль ,,09,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,10200,30,"Гаалийн хяналт,  бүрдүүлэлтийн хэлтэс","Гаалийн хяналт,  бүрдүүлэлтийн хэлтэс",,10,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,10202,30,Бага илэнх дэх хилийн боомт,Бага илэнх дэх хилийн боомт,,10,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,10500,30,"Санхүү, татварын хэсэг","Санхүү, татварын хэсэг",,10,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,10503,30,Санхүүгийн хэсэг,Санхүүгийн хэсэг,,10,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,10600,30,Статистик,Статистик,,10,Y,N,Y,0,0,0,0,0,0,0,0,0,0
